Coded Value,State Name,Applies to Database Schema
AL,Alabama,"FIRM, FRD, Discovery"
AK,Alaska,"FIRM, FRD, Discovery"
AS,American Samoa,"FIRM, FRD, Discovery"
AR,Arkansas,"FIRM, FRD, Discovery"
AZ,Arizona,"FIRM, FRD, Discovery"
CA,California,"FIRM, FRD, Discovery"
CO,Colorado,"FIRM, FRD, Discovery"
CT,Connecticut,"FIRM, FRD, Discovery"
DE,Delaware,"FIRM, FRD, Discovery"
DC,District of Columbia,"FIRM, FRD, Discovery"
FL,Florida,"FIRM, FRD, Discovery"
GA,Georgia,"FIRM, FRD, Discovery"
GU,Guam,"FIRM, FRD, Discovery"
HI,Hawaii,"FIRM, FRD, Discovery"
ID,Idaho,"FIRM, FRD, Discovery"
IL,Illinois,"FIRM, FRD, Discovery"
IN,Indiana,"FIRM, FRD, Discovery"
IA,Iowa,"FIRM, FRD, Discovery"
KS,Kansas,"FIRM, FRD, Discovery"
KY,Kentucky,"FIRM, FRD, Discovery"
LA,Louisiana,"FIRM, FRD, Discovery"
ME,Maine,"FIRM, FRD, Discovery"
MH,Marshall Islands,"FIRM, FRD, Discovery"
MD,Maryland,"FIRM, FRD, Discovery"
MA,Massachusetts,"FIRM, FRD, Discovery"
MI,Michigan,"FIRM, FRD, Discovery"
FM,Micronesia,"FIRM, FRD, Discovery"
MN,Minnesota,"FIRM, FRD, Discovery"
MS,Mississippi,"FIRM, FRD, Discovery"
MO,Missouri,"FIRM, FRD, Discovery"
MT,Montana,"FIRM, FRD, Discovery"
NE,Nebraska,"FIRM, FRD, Discovery"
NV,Nevada,"FIRM, FRD, Discovery"
NH,New Hampshire,"FIRM, FRD, Discovery"
NJ,New Jersey,"FIRM, FRD, Discovery"
NM,New Mexico,"FIRM, FRD, Discovery"
NY,New York,"FIRM, FRD, Discovery"
NC,North Carolina,"FIRM, FRD, Discovery"
ND,North Dakota,"FIRM, FRD, Discovery"
MP,Northern Mariana Islands,"FIRM, FRD, Discovery"
OH,Ohio,"FIRM, FRD, Discovery"
OK,Oklahoma,"FIRM, FRD, Discovery"
OR,Oregon,"FIRM, FRD, Discovery"
PW,Palau,"FIRM, FRD, Discovery"
PA,Pennsylvania,"FIRM, FRD, Discovery"
PR,Puerto Rico,"FIRM, FRD, Discovery"
RI,Rhode Island,"FIRM, FRD, Discovery"
SC,South Carolina,"FIRM, FRD, Discovery"
SD,South Dakota,"FIRM, FRD, Discovery"
TN,Tennessee,"FIRM, FRD, Discovery"
TX,Texas,"FIRM, FRD, Discovery"
UM,U.S. Minor Islands,"FIRM, FRD, Discovery"
UT,Utah,"FIRM, FRD, Discovery"
VT,Vermont,"FIRM, FRD, Discovery"
VA,Virginia,"FIRM, FRD, Discovery"
VI,Virgin Islands,"FIRM, FRD, Discovery"
WA,Washington,"FIRM, FRD, Discovery"
WV,West Virginia,"FIRM, FRD, Discovery"
WI,Wisconsin,"FIRM, FRD, Discovery"
WY,Wyoming,"FIRM, FRD, Discovery"
NP,NP,"FIRM, FRD, Discovery"
