Coded Value,Projection Zone,Applies to Database Schema
1,1,FIRM
2,2,FIRM
3,3,FIRM
4,4,FIRM
5,5,FIRM
6,6,FIRM
7,7,FIRM
8,8,FIRM
9,9,FIRM
10,10,FIRM
11,11,FIRM
12,12,FIRM
13,13,FIRM
14,14,FIRM
15,15,FIRM
16,16,FIRM
17,17,FIRM
18,18,FIRM
19,19,FIRM
2111H,2111H,FIRM
0101H,0101H,FIRM
0102H,0102H,FIRM
0201H,0201H,FIRM
0202H,0202H,FIRM
0203H,0203H,FIRM
0401H,0401H,FIRM
0402H,0402H,FIRM
0403H,0403H,FIRM
0404H,0404H,FIRM
0405H,0405H,FIRM
0406H,0406H,FIRM
0501H,0501H,FIRM
0502H,0502H,FIRM
0503H,0503H,FIRM
0600H,0600H,FIRM
0700H,0700H,FIRM
0901H,0901H,FIRM
0902H,0902H,FIRM
0903H,0903H,FIRM
1001H,1001H,FIRM
1002H,1002H,FIRM
1101H,1101H,FIRM
1102H,1102H,FIRM
1103H,1103H,FIRM
1201H,1201H,FIRM
1202H,1202H,FIRM
1301H,1301H,FIRM
1302H,1302H,FIRM
1501H,1501H,FIRM
1502H,1502H,FIRM
1601H,1601H,FIRM
1602H,1602H,FIRM
1701H,1701H,FIRM
1702H,1702H,FIRM
1801H,1801H,FIRM
1802H,1802H,FIRM
1900H,1900H,FIRM
2001H,2001H,FIRM
2002H,2002H,FIRM
2111H,2111H,FIRM
2112H,2112H,FIRM
2113H,2113H,FIRM
2301H,2301H,FIRM
2302H,2302H,FIRM
2500H,2500H,FIRM
2600H,2600H,FIRM
2701H,2701H,FIRM
2702H,2702H,FIRM
2703H,2703H,FIRM
2800H,2800H,FIRM
2900H,2900H,FIRM
3001H,3001H,FIRM
3002H,3002H,FIRM
3003H,3003H,FIRM
3101H,3101H,FIRM
3102H,3102H,FIRM
3103H,3103H,FIRM
3104H,3104H,FIRM
3301H,3301H,FIRM
3302H,3302H,FIRM
3401H,3401H,FIRM
3402H,3402H,FIRM
3501H,3501H,FIRM
3502H,3502H,FIRM
3601H,3601H,FIRM
3602H,3602H,FIRM
3800H,3800H,FIRM
4001H,4001H,FIRM
4002H,4002H,FIRM
4100H,4100H,FIRM
4201H,4201H,FIRM
4202H,4202H,FIRM
4203H,4203H,FIRM
4204H,4204H,FIRM
4205H,4205H,FIRM
4301H,4301H,FIRM
4302H,4302H,FIRM
4303H,4303H,FIRM
4400H,4400H,FIRM
4501H,4501H,FIRM
4502H,4502H,FIRM
4601H,4601H,FIRM
4602H,4602H,FIRM
4701H,4701H,FIRM
4702H,4702H,FIRM
4801H,4801H,FIRM
4802H,4802H,FIRM
4803H,4803H,FIRM
4901H,4901H,FIRM
4902H,4902H,FIRM
4903H,4903H,FIRM
4904H,4904H,FIRM
5101H,5101H,FIRM
5102H,5102H,FIRM
5103H,5103H,FIRM
5104H,5104H,FIRM
5105H,5105H,FIRM
5200H,5200H,FIRM
0101,0101,FIRM
0102,0102,FIRM
0201,0201,FIRM
0202,0202,FIRM
0203,0203,FIRM
0301,0301,FIRM
